ObjectID,"PropertyName","PropertyValue","SourceID","SourceURL"
"paris_bombing","AbaoudDeathLocation","Saint Denis","en.wikipedia.org","https://en.wikipedia.org/wiki/November_2015_Paris_attacks"
"paris_bombing","AbaoudDeathDate","20/10/2015","en.wikipedia.org","https://en.wikipedia.org/wiki/November_2015_Paris_attacks"
"paris_bombing","people_killed","More than 120","cnn.com","http://www.cnn.com/2015/11/14/world/paris-attacks/"
"paris_bombing","More than 1","usatoday.com","http://www.usatoday.com/story/news/world/2015/11/13/multiple-deaths-reported-after-shootings-explosions-paris/75727746/","13/10/2015"
"paris_bombing","attacks","More than 1","usatoday.com","http://www.usatoday.com/story/news/world/2015/11/13/multiple-deaths-reported-after-shootings-explosions-paris/75727746/"
"paris_bombing","location_attacked","Concert Hall","usatoday","http://www.usatoday.com/story/news/world/2015/11/13/multiple-deaths-reported-after-shootings-explosions-paris/75727746/"
"paris_bombing","hostages","At least 100","usatoday","http://www.usatoday.com/story/news/world/2015/11/13/multiple-deaths-reported-after-shootings-explosions-paris/75727746/"
"paris_bombing","time_attack","Friday night","usatoday","http://www.usatoday.com/story/news/world/2015/11/13/multiple-deaths-reported-after-shootings-explosions-paris/75727746/"
"paris_bombing","people_killed","At least 129 people","news.yahoo.com","http://news.yahoo.com/latest-authorities-warn-paris-suburb-residents-052202969.html"
"paris_bombing","time_attack","Friday night","news.yahoo.com","http://news.yahoo.com/latest-authorities-warn-paris-suburb-residents-052202969.html"
"paris_bombing","time_attack","Friday night","news.yahoo.com","http://news.yahoo.com/latest-authorities-warn-paris-suburb-residents-052202969.html"
"paris_bombing","location_attacked","Concert Hall","news.yahoo.com","http://news.yahoo.com/latest-authorities-warn-paris-suburb-residents-052202969.html"
"paris_bombing","location_attacked","Cafes","news.yahoo.com","http://news.yahoo.com/latest-authorities-warn-paris-suburb-residents-052202969.html"
"paris_bombing","location_attacked","France's National Stadium","news.yahoo.com","http://news.yahoo.com/latest-authorities-warn-paris-suburb-residents-052202969.html"
"paris_bombing","StadiumAttackers","3 suicide bombers","news.yahoo.com","http://news.yahoo.com/latest-authorities-warn-paris-suburb-residents-052202969.html"
"Toulouse_Bombing","name_suspect","Mohammed Merah","bloomberg.com","http://www.bloomberg.com/news/articles/2015-01-07/shots-at-charlie-hebdo-weekly-in-paris-leave-six-injured"
"Toulouse_Bombing","people_killed","7","bloomberg.com","http://www.bloomberg.com/news/articles/2015-01-07/shots-at-charlie-hebdo-weekly-in-paris-leave-six-injured"
"Toulouse_Bombing","children_killed","3","bloomberg.com","http://www.bloomberg.com/news/articles/2015-01-07/shots-at-charlie-hebdo-weekly-in-paris-leave-six-injured"
